iter	Passed	Remaining
0	5	5128
1	9	4611
2	13	4440
3	17	4387
4	21	4266
5	25	4146
6	28	4095
7	36	4497
8	44	4862
9	48	4809
10	54	4883
11	60	5017
12	64	4860
13	69	4914
14	73	4813
15	79	4898
16	84	4891
17	88	4820
18	93	4804
19	96	4716
20	100	4684
21	103	4604
22	107	4571
23	110	4507
24	115	4495
25	118	4448
26	123	4437
27	124	4335
28	130	4376
29	134	4343
30	138	4335
31	141	4289
32	149	4388
33	154	4376
34	157	4339
35	160	4296
36	165	4299
37	169	4300
38	171	4238
39	177	4259
40	179	4201
41	188	4289
42	192	4292
43	196	4258
44	201	4285
45	205	4254
46	209	4246
47	212	4206
48	216	4200
49	219	4175
50	224	4172
51	228	4162
52	234	4190
53	240	4220
54	245	4217
55	249	4199
56	252	4177
57	256	4161
58	259	4141
59	263	4123
60	266	4101
61	272	4127
62	277	4126
63	280	4103
64	286	4127
65	290	4113
66	297	4140
67	302	4146
68	305	4127
69	311	4140
70	315	4127
71	319	4114
72	322	4094
73	327	4092
74	330	4072
75	337	4102
76	343	4113
77	346	4096
78	353	4119
79	358	4125
80	363	4126
81	365	4093
82	368	4073
83	373	4074
84	376	4054
85	383	4073
86	388	4071
87	391	4056
88	398	4076
89	401	4061
90	407	4073
91	412	4075
92	416	4065
93	432	4169
94	437	4171
95	446	4206
96	451	4206
97	455	4196
98	461	4202
99	467	4204
100	472	4203
101	477	4203
102	481	4193
103	488	4208
104	493	4206
105	503	4246
106	510	4261
107	516	4266
108	522	4267
109	528	4280
110	535	4289
111	539	4277
112	551	4328
113	558	4342
114	562	4326
115	574	4380
116	584	4407
117	593	4434
118	598	4433
119	602	4415
120	607	4409
121	610	4392
122	615	4389
123	622	4399
124	632	4428
125	637	4425
126	641	4411
127	646	4401
128	649	4384
129	653	4373
130	656	4356
131	660	4345
132	664	4330
133	668	4318
134	671	4303
135	673	4279
136	677	4270
137	681	4254
138	686	4253
139	690	4239
140	694	4231
141	697	4216
142	702	4209
143	705	4196
144	710	4189
145	713	4173
146	717	4161
147	720	4147
148	724	4137
149	728	4126
150	732	4119
151	736	4108
152	741	4105
153	745	4093
154	748	4082
155	754	4080
156	758	4072
157	762	4064
158	766	4053
159	771	4050
160	774	4036
161	779	4032
162	782	4019
163	786	4010
164	789	3996
165	794	3993
166	798	3980
167	804	3983
168	807	3970
169	812	3967
170	815	3954
171	820	3951
172	827	3956
173	832	3950
174	837	3948
175	843	3951
176	849	3952
177	854	3943
178	857	3932
179	862	3927
